Game,Round,Team,Opponent,Home/Away,Score,WDL,Pens?,Goals For,Goals Against,Pen Shootout For,Pen Shootout Against,Attempts,On-Target,Off-Target,Blocked,Woodwork,Corners,Offsides,Ball possession %,Pass Accuracy %,Passes,Passes Completed,Distance Covered km,Balls recovered,Tackles,Blocks,Clearances,Yellow cards,Red Cards,Second Yellow Card leading to Red Card,Fouls Committed
49,1,France,Argentina,home,4-3,W,"",4,3,"","",9,4,4,1,1,0,0,41,84,351,295,97,35,12,4,20,3,0,0,21
49,1,Argentina,France,away,4-3,L,"",3,4,"","",9,4,1,4,0,4,1,59,86,547,471,96,28,22,1,10,5,0,0,15
50,1,Uruguay,Portugal,home,2-1,W,"",2,1,"","",6,3,2,1,0,2,0,39,70,266,185,106,40,19,8,34,0,0,0,13
50,1,Portugal,Uruguay,away,2-1,L,"",1,2,"","",20,5,7,8,0,10,1,61,84,584,489,107,41,10,1,17,1,0,0,13
51,1,Spain,Russia,home,1-1,L,y,1,1,3,4,25,9,6,10,0,6,1,75,91,1137,1031,137,42,7,2,9,1,0,0,5
51,1,Russia,Spain,away,1-1,W,y,1,1,4,3,6,1,3,2,0,5,1,25,72,284,204,146,43,16,10,47,2,0,0,19
52,1,Croatia,Denmark,home,1-1,W,y,1,1,3,2,22,7,8,7,0,5,2,54,81,625,506,132,54,9,2,36,0,0,0,5
52,1,Denmark,Croatia,away,1-1,L,y,1,1,2,3,15,3,10,2,1,4,0,46,79,538,425,135,47,15,7,29,1,0,0,19
53,1,Brazil,Mexico,home,2-0,W,"",2,0,"","",21,10,7,4,0,8,0,47,83,398,330,92,38,10,8,20,2,0,0,6
53,1,Mexico,Brazil,away,2-0,L,"",0,2,"","",13,1,4,8,0,7,2,53,85,424,362,89,34,12,4,23,4,0,0,18
54,1,Belgium,Japan,home,3-2,W,"",3,2,"","",24,8,10,6,1,10,1,56,87,621,540,108,28,2,3,12,0,0,0,13
54,1,Japan,Belgium,away,3-2,L,"",2,3,"","",11,4,4,3,0,6,1,44,83,453,374,109,40,8,6,39,1,0,0,9
55,1,Sweden,Switzerland,home,1-0,W,"",1,0,"","",12,3,6,3,0,3,1,37,73,270,198,105,46,3,9,33,1,0,0,11
55,1,Switzerland,Sweden,away,1-0,L,"",0,1,"","",18,4,5,9,0,11,0,63,83,599,500,103,26,2,3,15,2,1,0,13
56,1,Colombia,England,home,1-1,L,y,1,1,3,4,14,4,7,3,0,2,1,49,78,516,405,136,59,17,5,39,6,0,0,23
56,1,England,Colombia,away,1-1,W,y,1,1,4,3,16,2,9,5,0,7,2,51,82,571,471,143,59,6,3,27,2,0,0,13
57,2,Uruguay,France,home,0-2,L,"",0,2,"","",11,4,6,1,0,4,0,42,67,322,215,103,45,14,2,21,2,0,0,17
57,2,France,Uruguay,away,0-2,W,"",2,0,"","",11,2,7,2,0,3,0,58,81,524,427,99,48,7,1,51,2,0,0,15
58,2,Brazil,Belgium,home,1-2,L,"",1,2,"","",26,9,7,10,1,8,1,57,89,557,493,104,41,6,2,7,2,0,0,14
58,2,Belgium,Brazil,away,1-2,W,"",2,1,"","",8,3,3,2,0,4,0,43,83,370,307,105,35,7,10,41,2,0,0,16
59,2,Sweden,England,home,0-2,L,"",0,2,"","",7,3,3,1,0,1,2,43,74,379,280,107,36,5,6,37,2,0,0,10
59,2,England,Sweden,away,0-2,W,"",2,0,"","",12,2,4,6,0,6,1,57,80,525,420,110,47,3,1,22,1,0,0,7
60,2,Russia,Croatia,home,2-2,L,y,2,2,3,4,13,7,4,2,0,6,1,38,69,399,276,148,63,19,4,43,1,0,0,25
60,2,Croatia,Russia,away,2-2,W,y,2,2,4,3,17,3,10,4,1,8,0,62,82,753,615,139,58,10,2,27,4,0,0,18
61,3,France,Belgium,home,1-0,W,"",1,0,"","",19,5,8,6,0,4,1,40,86,342,294,102,44,16,1,30,2,0,0,6
61,3,Belgium,France,away,1-0,L,"",0,1,"","",9,3,5,1,0,5,1,60,90,629,565,102,34,16,6,14,3,0,0,16
62,3,Croatia,England,home,2-1,W,"",2,1,"","",22,7,11,4,1,8,1,54,79,622,494,143,51,18,4,32,2,0,0,23
62,3,England,Croatia,away,2-1,L,"",1,2,"","",11,1,6,4,0,4,3,46,79,479,377,148,49,4,4,52,1,0,0,14
63,4,Belgium,England,home,2-0,W,"",2,0,"","",12,4,3,5,0,4,1,43,88,510,450,108,34,4,3,27,1,0,0,11
63,4,England,Belgium,away,2-0,L,"",0,2,"","",15,5,7,3,0,5,0,57,92,698,641,110,31,7,5,18,2,0,0,5
64,4,France,Croatia,home,4-2,W,"",4,2,"","",8,6,1,1,0,2,1,39,75,271,202,99,45,12,4,35,2,0,0,14
64,4,Croatia,France,away,4-2,L,"",2,4,"","",15,3,8,4,0,6,1,61,83,547,456,100,45,13,1,13,1,0,0,13
thirdPlace,5,Belgium,England,home,2-0,W,"",2,0,"","",12,4,3,5,0,4,1,43,88,510,450,108,34,4,3,27,1,0,0,11
64,5,France,Croatia,home,,W,"",4,2,"","",8,6,1,1,0,2,1,39,75,271,202,99,45,12,4,35,2,0,0,14
firstPlace,6,France,Croatia,home,,W,"",4,2,"","",8,6,1,1,0,2,1,39,75,271,202,99,45,12,4,35,2,0,0,14
